"intBiotaAssociateID","intBiotaID","tintAssocType","intAssocBiotaID","vchrAssocBiotaText","vchrRelationForward","vchrRelationReverse","intRefID","vchrRefPage","bitUncertain","txtNotes","GUID"
"2011","60153","0","72944","","has synonym","is a synonym of","","","False","","{D4191F3B-1057-4490-9E2B-ED72D414C995}"
"2012","72944","0","60153","","is a synonym of","has synonym","","","False","","{33AFC5E1-3AB5-48C5-9A41-A3AEE2E07427}"
"2013","60159","0","78117","","has synonym","is a synonym of","","","False","","{C5591BF7-FE7F-4FA9-9A0F-BA967DA5D867}"
"2018","69566","0","60162","","is a synonym of","has synonym","","","False","","{64D09E1B-8326-4475-9FB5-8EF225930B28}"
"2019","60162","0","69567","","has synonym","is a synonym of","","","False","","{DCEE44E6-5A0E-4E15-9DE7-05D1D496050B}"
"2020","69567","0","60162","","is a synonym of","has synonym","","","False","","{95533257-B60B-4588-8DEC-781FD1EC9364}"
"2021","60162","0","69568","","has synonym","is a synonym of","","","False","","{D96A3AA3-C9F6-45B5-8CF4-2CD05B5EEB16}"
"2022","69568","0","60162","","is a synonym of","has synonym","","","False","","{2E7B4C6E-9A25-4292-9CBB-ABD98C23A55C}"
"2027","60188","0","76696","","has synonym","is a synonym of","","","False","","{A4C0A9A0-720E-4982-862B-42D38A1F5AF7}"
"2028","76696","0","60188","","is a synonym of","has synonym","","","False","","{C08308E6-4371-4FD6-A852-A1AE936CD175}"
"2029","60207","0","73223","","has synonym","is a synonym of","","","False","","{B60179ED-F181-4EC9-81D4-86985858F2ED}"
"2030","73223","0","60207","","is a synonym of","has synonym","","","False","","{4B887EAC-F64B-410A-97F0-76C9723D68E4}"
"2035","60224","0","60359","","has synonym","is a synonym of","","","False","","{1CCD54EA-8F0E-4DE1-865F-17F035871D9F}"
"2036","60359","0","60224","","is a synonym of","has synonym","","","False","","{20F2923D-7945-4715-AEA2-5C21C951D4CF}"
"2037","60224","0","69450","","has synonym","is a synonym of","","","False","","{478982B4-C1F1-4914-868E-28ABDD92815F}"
"2038","69450","0","60224","","is a synonym of","has synonym","","","False","","{7729140B-5418-48AF-B720-CD5D61DDFE14}"
"2044","60276","0","60252","","is a synonym of","has synonym","","","False","","{10D455C0-1D2B-4F41-A15A-88841FE655A7}"
"2046","69471","0","60252","","is a synonym of","has synonym","","","False","","{512E0748-A324-4BBF-A0C8-12CEE4EC76CB}"
"2047","60254","0","54232","","has synonym","is a synonym of","","","False","","{1BF225AC-073D-4C9A-9D5B-ECDC44FB00F3}"
"2052","54301","0","60254","","is a synonym of","has synonym","","","False","","{354F0B6F-DE4D-435B-8044-412E01C640A0}"
"2053","60254","0","54388","","has synonym","is a synonym of","","","False","","{BC416E51-E565-4D7A-956F-DF06574AA373}"
"2054","54388","0","60254","","is a synonym of","has synonym","","","False","","{90F588F3-38C2-4128-8E46-3D75E9AE346C}"
"2055","60254","0","68851","","has synonym","is a synonym of","","","False","","{89977CF1-C3E5-4A8F-A79C-92825AB2758F}"
"2060","60279","0","60255","","is a synonym of","has synonym","","","False","","{4F03ED41-82B9-48AA-9599-8A4A2B351320}"
"2061","60255","0","63204","","has synonym","is a synonym of","","","False","","{7B4EECD2-04E6-4645-A8CA-372FAC65E23F}"
"2062","63204","0","60255","","is a synonym of","has synonym","","","False","","{E1CAB79E-76E6-4D69-AEDA-BC9C3A0A3A6A}"
"2063","60255","0","69480","","has synonym","is a synonym of","","","False","","{FAC5F44A-8662-4A66-91CB-B7B82AC8CDC6}"
"2069","60262","0","69496","","has synonym","is a synonym of","","","False","","{CABE4008-811F-4CFE-B2F0-1ACA90C98502}"
"2070","69496","0","60262","","is a synonym of","has synonym","","","False","","{723932E8-04CA-47CF-8989-9ED3432C6D20}"
"2071","60264","0","79629","","has synonym","is a synonym of","","","False","","{3867BFB5-2BE5-4642-9888-1449FA19CD2F}"
"2072","79629","0","60264","","is a synonym of","has synonym","","","False","","{3F562797-48A5-4516-A0D8-83F232A36456}"
"2077","60264","0","79633","","has synonym","is a synonym of","","","False","","{E7527988-D3F9-4D0E-ACB7-059B302108A6}"
"2078","79633","0","60264","","is a synonym of","has synonym","","","False","","{4523DF28-6D9C-4C4E-98B6-9115488DC4A3}"
"2079","60264","0","79634","","has synonym","is a synonym of","","","False","","{DED6C627-2FD5-469E-A681-99BEF2ADB5A9}"
"2278","61483","0","61479","","is a synonym of","has synonym","","","False","","{81D49429-AA30-439E-B52F-4FBE10B1252E}"
"2279","61498","0","61501","","has synonym","is a synonym of","","","False","","{B3A80552-A7B8-4BF7-9AE5-1FC9AAA7B9D0}"
"2280","61501","0","61498","","is a synonym of","has synonym","","","False","","{DF91DE3A-4304-4331-933B-1743EA4376E8}"
"2286","75388","0","61518","","is a synonym of","has synonym","","","False","","{9648D4A5-0C94-4A55-AA2A-D7F6EC196DA1}"
"2287","61518","0","75401","","has synonym","is a synonym of","","","False","","{FCE86336-8B9E-432A-A9D3-E2327470609E}"
"2288","75401","0","61518","","is a synonym of","has synonym","","","False","","{423EC631-1D65-48DE-B7AE-4055EB10DA53}"
"2297","61567","0","56211","","has synonym","is a synonym of","","","False","","{E347A51E-5A3B-47C1-800C-C388DF662E0D}"
"2305","61608","0","61601","","has synonym","is a synonym of","","","False","","{DFB7473A-E671-4802-892D-56E276435A05}"
"2306","61601","0","61608","","is a synonym of","has synonym","","","False","","{3FC77B6C-8F42-4B42-A196-C581F1C8C74B}"
"2336","69968","0","61847","","is a synonym of","has synonym","","","False","","{BA7F0040-33CE-4E71-894F-D5B0E336CD26}"
"2339","61858","0","71784","","has synonym","is a synonym of","","","False","","{CF89C19E-8B45-4760-84C6-567316069F60}"
"2344","53010","0","61967","","is a synonym of","has synonym","","","False","","{24B9F0F5-CBCB-4B74-9C67-CD61F0316DD6}"
"2347","62029","0","69998","","has synonym","is a synonym of","","","False","","{2F79DD66-1BA1-4DF9-99E0-31D76D23E90A}"
"2348","69998","0","62029","","is a synonym of","has synonym","","","False","","{E58D86AB-84B7-452A-95E8-A443D9C9B097}"
"2353","62037","0","70002","","has synonym","is a synonym of","","","False","","{AE01ADDC-892F-4566-AF2C-92D1234D9A04}"
"2354","70002","0","62037","","is a synonym of","has synonym","","","False","","{85A1990B-C169-4103-ACEF-10C99B74567B}"
"2355","62037","0","70004","","has synonym","is a synonym of","","","False","","{AD882079-DE8E-402F-9A2B-619497516FA4}"
"2356","70004","0","62037","","is a synonym of","has synonym","","","False","","{CB6E4B59-0C49-4040-8BC9-51B2B8B9361F}"
"1792","77393","0","58410","","is a synonym of","has synonym","","","False","","{89D570D0-AE45-436C-882B-9A42DC6C67B0}"
"1798","74697","0","58489","","is a synonym of","has synonym","","","False","","{CD8467A9-5F22-4172-9184-877A22122BB4}"
"1800","72632","0","58510","","is a synonym of","has synonym","","","False","","{62D24160-95FF-49CD-BE73-CE64F64D905C}"
"1805","58607","0","80021","","has synonym","is a synonym of","","","False","","{3BE285B0-55E0-4C14-AEED-5ACE9B093F8F}"
"1806","80021","0","58607","","is a synonym of","has synonym","","","False","","{6AE8E2F3-E3F3-4184-89EA-6A9168FA0093}"
"1807","58607","0","80022","","has synonym","is a synonym of","","","False","","{B531A705-747C-49E6-88CE-503D3E6B49FC}"
"1808","80022","0","58607","","is a synonym of","has synonym","","","False","","{4E0D42EC-78B4-4C3B-903A-546413C2F317}"
"1809","58607","0","80023","","has synonym","is a synonym of","","","False","","{47EB3FD0-102E-43BF-A2AE-5B1FAD90CE7A}"
